[00:00] 抽到达芙第二怎么样
[01:52] 而清线伤害是受到队伍里每个角色影响的
[01:56] 就比如这里小资单独造成的清线伤害是2100
[02:00] 哈尼亚单独造成的清线伤害是4543
[02:03] 哈索尔单独造成的清线伤害是1680
[02:06] 阿德勒单独造成的清线伤害是2481
[02:09] 那么这四个人的队伍造成的清线伤害就是
[02:12] 2100+4543加1680+2481
[02:17] 也就是10804
[02:18] 而实际造成了10805的经验伤害
[02:21] 这应该是小数点的计算问题
[02:23] 导致有了一点的差异
[02:25] 这个数值是队伍里四个角色单独造成的
[02:28] 清线伤害总和
[02:30] 这里有个点大家需要注意
[02:31] 因为达芙迪尔可以提高他自己贡献的清线伤害
[02:35] 所以大家如果按照上面的方法
[02:37] 算队伍清线伤害总和的时候会发现有点不一样
[02:41] 大招的洞察效果额外造成的
[02:43] 这次清线伤害是达芙迪尔单独造成的
[02:46] 也就是说
[02:46] 我们组队触发洞察效果造成的两段清线伤害
[02:50] 一定是有一段伤害高
[02:52] 一段伤害低的D的
[02:53] 这段就是洞察效果额外造成的清线伤害
[02:56] 第三个效果是开大后
[02:57] 他会获得特殊的入场技
[02:59] 名字叫做幻影移形
[03:01] 总共持续30秒左右
[03:03] 在达芙迪尔的血条上面可以看到有两个鬼火
[03:06] 这就是特殊入场技可以使用的次数
[03:09] 既然是入场技
[03:10] 肯定要从后台进场才能触发
[03:12] 在前台时我们可以通过鬼火看到使用次数
[03:15] 那在后台怎么办呢
[03:17] 我们把白藏切出来诶
[03:19] 大家看右边的角色头像
[03:21] 这里在达芙迪尔的头像
[03:22] 左边就会有两个火焰一样的图标
[03:25] 每个火焰就代表他目前有一次特殊的入场技
[03:29] 这个特殊入场记和原护剂有点不太一样
[03:32] 正常的援护技都需要打满环和值后
[03:35] 切换对应角色入场才能触发对吧
[03:37] 而这个特殊的入场技并不需要
[03:40] 我们只需要从其他角色切达芙迪尔入场
[03:43] 他就会直接释放
[03:44] 像这样打别人几下
[03:46] 不过需要注意在他释放这个特殊入场技的时候
[03:49] 我们不要闪避
[03:50] 不然就会打断这个技能的释放动作
[03:53] 他的被动二还会增加这个特殊入场技的伤害
[03:56] 比如正常释放特殊入场技
[03:58] 最后一段伤害是1638
[04:01] 而当我们解锁了被动二后
[04:02] 最后一段伤害就是2503
[04:05] 这个特殊的入场技除了打伤害以外
[04:07] 他还有什么用呢
[04:09] 这就要说到一个特殊的机制
[04:10] 成规反击
[04:12] 在我们打敌人的时候
[04:13] 大家会发现敌人的攻击有时候会出现一个红圈
[04:17] 这些红圈攻击
[04:18] 我们可以使用普攻或者切人进行格挡
[04:21] 当格挡成功后
[04:22] 敌人就会进入僵直
[04:23] 同时进行格挡的角色也会回复一定的缓和值
[04:27] 而特殊的入场技也可以格挡这个红圈攻击
[04:31] 当格挡红圈攻击成功时
[04:33] 还会触发三个额外效果
[04:35] 第一个效果是会造成一次高额伤害
[04:38] 比如我正常格挡攻击的时候
[04:40] 大家看会造成两段伤害
[04:42] 一段不暴击的伤害是230
[04:44] 一段暴击的伤害是3354
[04:46] 而当我们用特殊入场技格挡成功
[04:49] 就会造成三段伤害
[04:50] 其中多出来的这段4447就是额外的伤害
[04:54] 第二个效果是会造成更多的清线值
[04:56] 也就是会打掉敌人更多的白条
[04:58] 比如这里正常格挡成功的时候
[05:01] 敌人的白条就会减少一点点
[05:03] 看到没
[05:03] 而使用特殊入场技格挡成功时
[05:06] 大家看减少的白条就会更多一点
[05:08] 第三个效果是当我们成功格挡的时候
[05:11] 达芙迪尔的大招能量会直接回满
[05:14] 比如这里我从白肠切到达芙地尔
[05:16] 它会释放一次特殊场技
[05:18] 释放后大家看右下角的大招能量基本还是空的
[05:22] 但是如果我们格挡到敌人的红圈攻击后
[05:25] 右下角的大招能量就会直接回满20秒
[05:28] 冷却时间结束后
[05:29] 我们就可以再次开大
[05:30] 这个效果还是非常强力的
[05:32] 需要注意的是
[05:33] 当我们满环和值切达芙蒂尔入场时
[05:36] 如果他有特殊的入场技
[05:38] 就会优先释放原护剂
[05:40] 然后释放特殊的入场技
[05:42] 不过大家不用担心
[05:43] 当他有特殊入场技的时候
[05:45] 如果使用援护技格挡了敌人的红圈攻击
[05:48] 那它也会触发特殊场期的所有额外效果
[05:51] 同时这里我们可以看到小怪也会有红圈攻击
[05:55] 只不过比较少
[05:56] 而boss的红圈攻击相对更加频繁一些
[05:59] 所以达芙迪尔在打boss的时候会更加强烈
[06:02] 只要我们操作够好
[06:03] 基本可以全程有大
[06:05] 而六级大招加上两次特殊入场技
[06:07] 总共可以有差不多2000左右的伤害倍率
[06:10] 前面我们还说到
[06:12] 每次格挡成功
[06:13] 他还会回复一定的环和值
[06:15] 而大部分红圈攻击在格挡成功后
[06:18] 都可以让角色的环和值直接回满
[06:20] 所以这时候我们还可以切其他角色入场
[06:23] 释放对应的圆弧技
[06:25] 和触发暗属性相关的缓和反应
[06:27] 而队伍里每次释放圆弧技时
[06:29] 还会强化达芙迪尔的小技能
[06:31] 提高他造成的伤害和清线值
[06:34] 他的小技能正常情况下是白色的图标
[06:37] 释放后第一段伤害不暴击
[06:39] 是596的伤害
[06:40] 当小技能被强化一次后
[06:42] 也就是队伍释放一次援护技
[06:44] 图标的周围就会有很多的蓝色火焰环绕
[06:47] 此时D段的伤害不暴击
[06:49] 就是807提高了
[06:51] 当小技能被强化两次后
[06:53] 也就是队伍释放两次圆弧技
[06:55] 图标周围就会有蓝紫色的火焰环绕
[06:57] 此时第一段不暴击的伤害就是865
[07:00] 伤害再次提高了
[07:02] 并且当小技能强化两次后
[07:04] 释放的招式也会改变
[07:06] 他会先旋转挥砍敌人
[07:08] 接着跳起来下劈在地上劈出十字形剑气
[07:12] 整个招式看起来会更加的干脆利落
[07:15] 最后我们再来看一下他的被动
[07:16] 一嗜血强化
[07:17] 当我们同时触发灼燃反应和暗心反应时
[07:20] 就会触发失血反应
[07:22] 它会减少敌人一定比例的清线条
[07:25] 就比如这里触发丝血反应后
[07:27] 白条就从右边这个位置减少到了左边这个位置
[07:31] 减少的清线值还是比较多的
[07:33] 而他的丝血强化会让敌人在减少清线值的同时
[07:38] 减少10%的期限值
[07:39] 上限最多可以叠加两层
[07:41] 也就是减少20%的上限
[07:44] 这个效果搭配丝血反应的效果
[07:46] 可以让敌人快速进入清线状态
[07:48] 这样达芙迪尔可以频繁对敌人造成清线伤害
[07:52] 同时还可以给队伍创造更舒适的输出环境
[07:55] 了解了他的技能后
[07:56] 我们再来看看他的输出手法
[07:58] 我们就以白藏达芙迪尔这个队伍举例
[08:01] 进场后
[08:02] 先让辅助角色开大
[08:04] 提供攻击力加成
[08:05] 接着切达芙迪尔开大获得两次特殊入场技
[08:09] 然后释放小技能
[08:10] 释放时我们就可以合轴切主C白藏进场输出了
[08:14] 他会自己放完小技能后再下场
[08:16] 后面白场一直站场输出就可以了
[08:19] 如果白场的环和值打满了
[08:21] 就切他入场
[08:22] 触发阻燃反应
[08:23] 同时释放一次特殊的入场技
[08:25] 或者遇到敌人释放红圈攻击时
[08:28] 也要切他入场
[08:29] 抵挡敌人的红圈攻击
[08:31] 这样可以回满他的大招能量
[08:33] 同时造成额外伤害
[08:34] 我们尽量在30秒内
[08:36] 把两段特殊的入场技都用掉
[08:38] 避免持续时间结束导致浪费
[08:41] 然后等队友的小技能好了
[08:42] 我们就开始下一轮循环
[08:44] 先切早物
[08:45] 哈里亚上场有大放大没大放小技能加攻
[08:49] 然后切达芙迪尔进场有大放大没大放小技能
[08:52] 最后再切回白藏战场输出
[08:54] 中途切两次达芙迪尔
[08:56] 把特殊入场技用掉就行
[08:58] 如果有红圈攻击
[08:59] 就优先切他
[09:00] 格挡敌人的红圈攻击
[09:01] 差不多就这样一直循环技能养成
[09:04] 这里如果试玩丝血队
[09:05] 被动一需要优先解锁被动二
[09:08] 可以提高特殊入场技造成的伤害等级够
[09:11] 也可以解锁一下
[09:12] 接着升级大招
[09:13] 可以提高大招和常规反击额外伤害的倍率
[09:16] 然后升级普攻特殊入场技
[09:19] 也就是那个幻影移形的伤害倍率
[09:21] 会受到普攻等级影响
[09:22] 所以普攻和大招的技能等级都同样重要
[09:25] 最后升级小技能
[09:27] 小技能在被强化后
[09:28] 伤害倍率同样不低
[09:30] 圆弧机这里实战中
[09:31] 白藏在战场打满黄河之后会切他触发阻燃反应
[09:35] 所以有资源我们也可以试一下
[09:37] S胡牌可以用漆黑青春妄想提供攻击力加成
[09:41] 武器效果
[09:42] 提供清线强度
[09:43] 武器主动效果和达芙迪尔也比较适合
[09:46] 可以提高他对指定敌人造成的暗属性伤害
[09:48] A级胡牌
[09:49] 可以用闪耀的每一天
[09:51] 提供攻击力加成和清线强度加成
[09:53] 装备者攻击清线敌人造成的伤害还会提升
[09:57] 或者也可以使用灵感大逃杀提供清线强度
[10:00] 武器效果还可以在他放小技能后获得大的能量
[10:03] 让他的大招循环变快
[10:05] 对于达芙蒂尔来说也非常不错
[10:07] 空步这里卡带可以选择迪亚波罗斯
[10:10] 可以让他的暗属性伤害更高
[10:12] 偏好驱动
[10:13] 可以提供40%的暗属性伤害加成
[10:15] 卡带主词条前期可以选择暴击率或者经验强度
[10:19] 后期主词条还是选择暴击率比较好
[10:21] 因为如果选择清线强度
[10:23] 虽然可以让清线伤害变高
[10:25] 但是因为技能伤害的占比不低
[10:27] 如果暴击率太低
[10:29] 就会导致技能伤害大大减少
[10:31] 并不划算
[10:32] 后期卡带主词条加上空目副词条
[10:34] 再加上基础的5%
[10:36] 总共可以获得65%的暴击率
[10:38] 可以让他的暴击伤害比较稳定
[10:40] 而副词条我们优先选择暴击率
[10:42] 暴击伤害极限强度
[10:44] 然后选择伤害增加或者攻击力
[10:46] 因为清线强度可以提高
[10:48] 达芙迪尔造成的清线伤害
[10:50] 没有觉醒的时候
[10:51] 他的清线伤害每次也可以打1万多
[10:53] 接近2万的伤害
[10:54] 而有三个觉醒后
[10:56] 他的清线伤害还能更高
[10:57] 所以清线强度这个词条也非常重要
[11:00] 觉醒这里正常的小技能
[11:02] 每次强化可以提高50%造成的伤害
[11:05] 以及提升125%的清线值
[11:07] 而有了第一个觉醒后
[11:09] 每次提高的伤害会增加到百分之百
[11:11] 减少的清线值会增加到250%
[11:14] 相当于直接翻倍了
[11:15] 第二个觉醒非常厉害
[11:17] 我们开大后不是有这个特殊的入场攻击吗
[11:20] 前面我们说到特殊的入场攻击
[11:22] 在格挡敌人的红圈攻击时
[11:24] 才能造成4447的这个额外伤害
[11:27] 以及扣除敌人额外的清线值
[11:30] 同时还会回满大招能量
[11:32] 而当解锁了第二个觉醒后
[11:34] 我们就不需要再格挡敌人的红圈攻击了
[11:36] 而是会直接造成额外伤害和额外的经验值
[11:40] 并且回满他的大招能量
[11:41] 大家看就像这样
[11:43] 直接切大进场
[11:44] 入场技最后一段就会有个4447的额外伤害
[11:47] 右下角的大招能量也会直接回满
[11:50] 非常好用
[11:50] 第三个觉醒可以让洞察的效果不再被移除
[11:53] 正常我们开大后不是会给敌人施加洞察效果吗
[11:57] 当我们把敌人的白条打空后
[11:59] 就会造成两段清线伤害
[12:01] 同时洞察效果就会消失
[12:03] 但是当我们解锁第三个觉醒后
[12:06] 大家看虽然同样是造成了两段星星伤害
[12:09] 但是洞察效果就不会消失了
[12:11] 并且洞察的层数可以最多叠加至两层了
[12:15] 如果是单点
[12:16] 第三个觉醒
[12:17] 这个层数增加到两层并没有什么作用
[12:19] 但是它可以搭配后面的觉醒使用
[12:22] 比如第四个觉醒就可以根据洞察的陈述
[12:25] 提高他额外造成的清线伤害
[12:28] 没有解锁前
[12:29] 我额外造成的清线伤害是17810
[12:31] 解锁后我额外造成的清线伤害就是19146
[12:35] 而如果搭配第三个觉醒
[12:37] 当敌人身上有两层洞察效果时
[12:39] 额外造成的清线伤害就是20482
[12:42] 提高了2672点清线伤害
[12:45] 第五个觉醒也同样可以搭配第三个觉醒
[12:48] 它的效果是敌人在进入清线状态的时候
[12:51] 如果身上有洞察效果
[12:53] 每层洞察效果会让他额外受到一次
[12:55] 达芙迪尔造成的清线伤害
[12:57] 没解锁前
[12:58] 我们打空敌人的白条时
[13:00] 如果敌人有洞察状态
[13:02] 不是会受到两次清线伤害吗
[13:04] 而当解锁后
[13:05] 我们打有洞察状态的敌人
[13:06] 打空白条后
[13:07] 就会造成三次清线伤害会多一次
[13:10] 如果搭配第三个觉醒
[13:12] 当敌人身上有两层洞察效果时
[13:14] 每次打空敌人的白条就会造成四次清线伤害
[13:18] 其中三次伤害是达芙迪尔单独造成的
[13:21] 还有一次伤害是全队一起造成的
[13:23] 第六个觉醒
[13:24] 可以让达芙迪尔的伤害
[13:26] 无视敌人15%的防御力
[13:28] 需要注意的是
[13:29] 这个无视防御的效果
[13:31] 对清线伤害也是会生效的
[13:33] 比如这里
[13:33] 大家看正常造成的清线伤害是17810
[13:37] 而解锁第六个觉醒后
[13:38] 大家看造成的清线伤害就是19138
[13:41] 需要注意的是
[13:42] 前面第四个觉醒
[13:44] 只会提升他额外造成的清线伤害
[13:47] 而第六个觉醒是提升他所有的清线伤害
[13:50] 包括全队一起打的那一段
[13:52] 这里我也测试了一下
[13:54] 总体来看
[13:54] 第六个觉醒对于达芙蒂尔的提升
[13:57] 会比第四个觉醒效果更大一些
[13:59] 共鸣三可以让普攻小技能大招等级提升一级
[14:03] 共鸣六可以在敌人处于清线状态时
[14:06] 让敌人的暗属性抗性降低15%
[14:08] 总体来看
[14:09] 觉醒一觉醒二
[14:10] 觉醒六以及共鸣三
[14:12] 共鸣六都可以提升他的技能伤害
[14:14] 而觉醒三觉醒四
[14:16] 觉醒五
[14:16] 觉醒六都可以提升他的清线伤害
[14:19] 如果大家只有一个觉醒
[14:20] 可以先选择觉醒二
[14:22] 他可以让达芙迪尔全程有大大幅提升
[14:25] 达芙迪尔在队伍里的伤害占比
[14:27] 如果大家有达芙蒂尔的三个觉醒
[14:29] 我们也可以选择觉醒三
[14:30] 觉醒五
[14:31] 觉醒六搭配起来可以玩清线流
[14:34] 觉醒五可以增加他额外造成的清线伤害次数
[14:37] 觉醒三可以进一步提升这个次数的上限
[14:40] 觉醒六负责减少敌人的防御力
[14:42] 让所有技能的伤害和清线伤害都提高
[14:45] 整体来说也是比较不错的玩法
[14:47] 配队方面可以搭配白长早雾哈尼亚
[14:50] 这个队伍目前是湿鞋队的雏形
[14:52] 在深渊打boss关的时候会有不错的效果
[14:55] 操作比较好的情况下
[14:56] 不仅可以频繁触发丝血反应
[14:59] 让敌人频繁进入清线状态
[15:01] 给队伍提供良好的输出环境
[15:03] 还可以让达芙迪尔全程有大提高队伍输出上限
[15:06] 队伍目前并没有固定的手法
[15:08] 就是前面实战部分介绍的���作
[15:11] 基本也是轮切
[15:12] 哪里亮了
[15:13] 点哪里
[15:13] 只是需要注意
[15:14] 达芙迪尔要在30秒内打完两次特殊入场技
[15:17] 避免浪费
[15:18] 如果点了觉醒二
[15:19] 这个时间就还可以提前一点
[15:22] 尽量在20秒内放完两次特殊入场技
[15:24] 因为大招是20秒CDCD1到就可以马上放大
[15:28] 又获得两次入场技
[15:30] 如果需要生存能力辅助
[15:32] 这个位置也可以换成法蒂亚
[15:34] 法利亚搭配达夫蒂尔触发暗星反应后
[15:37] 还可以减少敌人的生命值上限
[15:39] 同时增加全队角色的生命值上限
[15:41] 或者换成阿德勒早握的被动一
[15:44] 触发阻燃反应后
[15:45] 还可以大幅提升白藏大招造成的持续伤害
[15:48] 都是很不错的选择
[15:50] 以上就是有关答复帝尔的全部内容了
[15:52] 下课
