[00:00] 抽到白城怎么玩
[01:52] 再长按它就会再放一次这个翻滚攻击
[01:55] 也就是说我们把方向键按住不动
[01:57] 然后闪避键长按松开
[01:59] 长按松开
[02:01] 他就会这样不停的去打这个翻滚攻击
[02:03] 这也是实战中我们用的最多的一种攻击方式
[02:06] 第二种打法是转身攻击
[02:08] 这种打法和前面的第一种打法很像
[02:11] 不过这种就不需要我们按住方向键了
[02:13] 只需要我们在进入战斗后长按闪避键就可以
[02:16] 长按闪避键后
[02:18] 他会转身向后位移一段距离
[02:20] 同时往前丢出三个红色的字
[02:22] 爆炸造成伤害
[02:24] 这三个字和第一种打法的三个字伤害是一样的
[02:27] 不同的是之前第一种打法丢出的字是在地上
[02:31] 这种打法丢出的字会在半空中
[02:33] 有关这两种打法大家需要注意三个点
[02:36] 无论是第一种打法还是第二种打法
[02:38] 造成的伤害倍率都是一样的
[02:41] 之所以不用电动打法
[02:42] 主要是因为我们没按方向键
[02:44] 所以打着打着你就会不停的后退
[02:47] 到最后你看攻击甚至都打不到敌人了
[02:50] 而第一种打法每次打完还会往前走一步
[02:53] 所以即便不停的翻滚攻击
[02:54] 也不会打空
[02:55] 二无论是翻滚攻击还是转身攻击
[02:58] 他们的本质都是闪避
[03:00] 所以被敌人攻击的时候
[03:02] 如果我们正好在翻滚或者转身
[03:04] 那他就会直接触发闪避
[03:06] 躲掉敌人的攻击
[03:07] 三因为这两种打法本质都是闪避
[03:10] 所以他们都会消耗体力
[03:12] 当体力用完后
[03:13] 我们就不能通过这种长按闪避的方式
[03:15] 继续攻击了
[03:16] 那如果体力打完了怎么办呢
[03:18] 这时候就可以用我们的第三种打法了
[03:21] 进入战斗后
[03:22] 长按攻击键
[03:23] 他会打出两段攻击
[03:25] 第一段攻击其实就是普攻的
[03:27] 第一段
[03:27] 他会把前面扇形区域内的敌人都吸到自己面前
[03:31] 接着第二段攻击会往半空中打出三个红色的字
[03:35] 击退敌人
[03:35] 并且爆炸造成伤害
[03:37] 这时候我们先松开普攻键
[03:39] 再长按它
[03:40] 又会打出两段攻击
[03:42] 此时的第一段攻击就是普攻的
[03:44] 第三段会在敌人的脚底下生成一个小红圈
[03:47] 对敌人造成伤害和击飞效果
[03:49] 第二段攻击会往地上打出三个红色的字
[03:52] 击退敌人
[03:53] 并且造成爆炸伤害
[03:54] 这里我再给大家完整演示一遍
[03:56] 长按普攻
[03:57] 松开后
[03:58] 立马再长按普攻吸怪击退
[04:01] 击飞击退
[04:02] 差不多就是这样
[04:03] 这种攻击方式比较适合没有体力的时候使用
[04:07] 有体力还是更建议使用第一种打法
[04:09] 然后我们再来说一下小技能
[04:11] 他的小技能也有三种释放方式
[04:13] 第一种是最普通的小技能
[04:15] 技能图标是白色的
[04:17] 当我们刚进入战斗时就可以直接释放
[04:19] 释放后会生成这个红色的地刺攻击敌人
[04:23] 普通小技能的攻击范围比较小
[04:25] 伤害也比较低
[04:26] 第二种是对单的小技能
[04:28] 技能图标是红色的
[04:29] 是一个爆炸的图标
[04:31] 当我们点按闪避后才可以释放
[04:33] 释放后会丢出三个像箭头一样的东西
[04:36] 攻击指定敌人
[04:37] 同时还会在敌人身上生成一个禁制
[04:40] 这个字
[04:41] 具体有什么用
[04:42] 我们后面一起说对单的这种小技能
[04:44] 伤害倍率会比较高
[04:46] 但是攻击只能命中一个敌人
[04:48] 第三种是对群的小技能
[04:50] 技能图标也是红色的
[04:51] 是一个蝴蝶的图标
[04:53] 前面我们不是说重击有三种打法吗
[04:56] 每种打法都有丢三个字出去炸敌人
[04:58] 这个招式
[04:59] 当我们打出这个招式后
[05:01] 小技能就会变成第三种形式
[05:03] 也就是说我们可以长按普攻
[05:06] 打出丢三个字的这个招式后
[05:08] 按小技能释放
[05:09] 也可以按住方向键
[05:11] 长按闪避键
[05:12] 打出翻滚攻击后
[05:13] 按小技能释放
[05:14] 或者直接长按闪避
[05:16] 打出转身攻击后
[05:17] 按小技能释放
[05:18] 无论哪种方式打出来的都是这种对群的小技能
[05:22] 释放后会对面前的敌人造成一次大范围的伤害
[05:26] 同时在地上生成一个励志
[05:28] 这种对群的小技能造成的伤害
[05:30] 虽然不如对单的小技能
[05:32] 但是他有不错的伤害范围
[05:34] 在打群怪的时候比较好用
[05:36] 有关小技能我们需要注意一下
[05:38] 第一种普通的小技能虽然伤害不高
[05:41] 但是他的冷却时间是独立的
[05:43] 只要冷却时间结束
[05:44] 我们就可以使用它
[05:46] 如果此时大家右下角的小技能图标是红色的
[05:49] 我们稍微普攻两下
[05:51] 它就会变成白色的了
[05:52] 这时候就可以释放普通的小技能
[05:54] 而后面红色的这个对单的和对群的小技能
[05:58] 虽然伤害高
[05:59] 但是有自己独立的CD
[06:01] 并且他们的冷却时间是共享的
[06:04] 比如这里进入战斗后
[06:05] 我先闪避一下
[06:06] 这时候小技能图标就变成红色的了
[06:09] 接着我释放一个对战的小技能
[06:11] 大家看右下角小技能的图标
[06:13] 外面就会有一个红色的圆圈在走
[06:15] 这说明后面两种小技能都进入了冷却
[06:18] 前面我们不是说翻滚攻击后
[06:21] 可以释放对群的小技能吗
[06:22] 这时候我释放一个翻滚攻击
[06:24] 大家看此时对群的小技能也就在冷却中
[06:27] 也就是说如果放哪对单的小技能
[06:30] 就不能立马放对群的
[06:32] 放了对群的小技能就不能立马放对单的
[06:34] 他们两个小技能是共享一个冷却时间
[06:37] 我们只能选择其中一个进行释放
[06:40] 如果是打单体怪
[06:41] 大家就放对单的小技能
[06:43] 因为伤害倍率会更高一些
[06:45] 如果是打群体怪
[06:46] 大家就放对群的小技能
[06:47] 因为他是范围伤害
[06:49] 可以同时攻击多个敌人
[06:51] 然后我们再来说一下
[06:52] 前面小技能生成的字有什么用
[06:55] 这就需要搭配他的大招来讲了
[06:57] 这些生成的字叫做延林志
[06:59] 当他开启大招后
[07:01] 这些字就会消失
[07:02] 并产生对应的效果
[07:04] 白藏总共会生成三个不同的字
[07:07] 第一个字是绿色的
[07:08] 叫做注
[07:09] 我们使用普攻或者重击时
[07:11] 每攻击敌人三次
[07:13] 就会在敌人身上生成一个柱字
[07:15] 当白藏开启大招后
[07:17] 这些数字就会爆炸
[07:19] 对当前敌人造成少量伤害
[07:21] 同时回复白藏5%的最大生命值
[07:24] 第二个字是红色的
[07:26] 叫做静
[07:26] 这个静字总共有三种生成方式
[07:29] 一我们每次使用对单的小技能后
[07:32] 就会在敌人身上生成一个禁制
[07:35] 二当它释放援护技的时候
[07:37] 会在其中一个敌人身上生成一个禁制
[07:40] 三
[07:41] E放小技能的时候不是会遁地吗
[07:43] 如果我们解锁拿白藏的被动2E遁地的时候
[07:47] 我们切白藏进场
[07:48] 白藏就会攻击敌人
[07:49] 同时在其中一个敌人身上生成这个禁制
[07:52] 或者当法蒂亚的生命值低于20%的时候
[07:56] 队伍里的白藏也会自动跑出来打敌人一下
[07:59] 同时在其中一个敌人身上生成这个禁制
[08:02] 禁止在白藏开启大招后会爆炸
[08:05] 对小范围内造成高额伤害
[08:07] 对单比较强力
[08:08] 第三个字的颜色也是红色的
[08:10] 叫做逆
[08:11] 我们每次使用对群的小技能后
[08:13] 地上就会生成一个励志
[08:15] 当白藏开启大招后
[08:17] 这个励志就会爆炸
[08:19] 对周围的敌人造成范围伤害
[08:21] 简单点总结一下就是当白藏开启大招后
[08:24] 普攻重击生成的柱子会给白藏回血
[08:27] 对单的小技能援护技
[08:29] 被动二生成的禁制会对小范围造成高额伤害
[08:33] 对群的小技能生成的励志会造成范围伤害
[08:37] 所以我们可以根据战斗环境的不同
[08:39] 在敌人身上生成自己需要的炎林志
[08:41] 不过大家需要注意两个点
[08:43] 一每生成一个年龄字时
[08:45] 白长就会减少3%
[08:47] 当前生命值
[08:48] 就比如这里我释放小技能在敌人身上生成
[08:52] 静止的时候
[08:52] 大家看我的血量就从11124
[08:55] 减少到107912
[08:58] 这些言灵字在场上最多只能同时存在三个
[09:01] 就比如这里左边有一个立字
[09:04] 右边这个怪身上有两个柱字
[09:06] 然后我继续打右边这个怪
[09:08] 当这个怪身上出现第三个柱子的时候
[09:11] 大家看前面那个立字就消失了
[09:14] 白藏的大招
[09:15] 除了可以让这些字产生对应的效果以外
[09:18] 还有三个额外的效果
[09:19] 第一个效果是在大招期间
[09:22] 白藏会对周围的敌人造成持续伤害
[09:24] 大家可以看一下
[09:25] 就是这样一直掉血
[09:27] 第二个效果是白藏在大招期间可以免疫死亡
[09:31] 比如这里我开启大招后
[09:33] 这些怪打我
[09:34] 我就会剩一滴血
[09:35] 不会直接死掉
[09:36] 不过需要注意的是
[09:37] 只要我们触发了这个免疫死亡的效果
[09:40] 大招就会在三秒钟后直接结束
[09:42] 就比如这里
[09:43] 当我触发免疫死亡后
[09:45] 右下角可以看到我的大招
[09:47] 明明还有一半的持续时间
[09:49] 但是下一秒你看他就会直接结束了
[09:52] 并且在大招结束后的十秒内
[09:54] 刚刚抵挡的伤害会慢慢返还给你
[09:56] 也就是说如果触发了免疫死亡的效果
[09:59] 我们受到的伤害数值会被记录
[10:02] 等大招结束后
[10:03] 如果白藏的血量不能及时回上来
[10:06] 他还是会死掉
[10:07] 如果大家不想让他死
[10:08] 就可以在触发免疫死亡后
[10:11] 立马切出队伍里的治疗角色给他回血
[10:13] 这时候他的大招还没结束
[10:15] 我们只要抓紧把他的血稍微回点上来
[10:18] 他就可以活下来了
[10:19] 第三个效果是白藏在大招期间可以斩杀敌人
[10:23] 比如这里当敌人的血量没剩多少时
[10:26] 我们开启白藏的大招
[10:27] 然后A1下
[10:28] 大家看这个敌人就直接被斩杀了
[10:31] 还有个黑白特写boss也同样可以斩杀
[10:34] 比如这个82级的黑蜘蛛
[10:36] 他只剩这么点血了
[10:37] 如果让我硬打
[10:38] 还是要打一会的
[10:40] 但是我开大后打他
[10:41] 你看打两下就给他斩杀了
[10:43] 是不是非常爽
[10:44] 最后我们再来看一下他的被动一阻燃强化
[10:47] 正常触发灼燃反应的时候
[10:49] 大家看敌人不是会持续掉血吗
[10:52] 此时白仓只要不停的攻击敌人
[10:54] 在敌人身上生成前面说到的那些银鳞质
[10:57] 就可以刷新这个敌人身上的阻燃反应
[11:00] 就比如这里触发阻燃反应后
[11:02] 这几个敌人就会一直持续掉血是吧
[11:05] 这时候我用白藏不停的打同一个敌人
[11:08] 大家看
[11:08] 当其他敌人身上灼燃状态的持续时间结束后
[11:12] 这个被我打的敌人身上的灼燃状态还没有结束
[11:15] 他还在持续掉血
[11:17] 看到没
[11:17] 这就说明他身上的灼燃状态持续时间刷新了
[11:21] 了解下他的技能机制后
[11:22] 我们就可以知道他的输出手法
[11:24] 进场后
[11:25] 我们的小技能不是白色的吗
[11:27] 此时我们可以先释放一个普通的小技能
[11:30] 接着按着前进的方向键
[11:32] 然后长按闪避松开
[11:34] 长按闪避松开
[11:35] 一直打这个翻滚攻击
[11:37] 如果是打单体怪
[11:38] 中途我们就点按一下闪避
[11:40] 接着点按小技能打一个对单的小技能
[11:43] 如果是打群体怪
[11:44] 中途我们就直接点按一下小技能
[11:46] 打一个对群的小技能
[11:48] 然后当场上有三个这个延林志的时候
[11:51] 我们就可以开启大招
[11:52] 这样就可以在开大的瞬间
[11:55] 直接先触发三个炎凌志的效果
[11:57] 完美利用大招的持续时间
[11:59] 触发更多的炎凌志
[12:01] 后面我们就一直打这个翻滚攻击就可以了
[12:04] 唯一需要注意的就是
[12:05] 当敌人血量不多的时候
[12:07] 我们就可以把大招稍微留一下
[12:09] 等确定大招期间可以斩杀敌人的时候再开大
[12:13] 这样我们可以少打很多血
[12:15] 更节省时间
[12:16] 不然大招开的太早了
[12:18] 就会导致敌人还没到可以斩杀的血量
[12:21] 大招的持续时间就已经结束了
[12:23] 等后面敌人到可以斩杀的血量时
[12:26] 大招的能量又没满
[12:27] 就会比较尴尬
[12:28] 技能养成
[12:29] 这里如果试玩左蓝队被动一可以优先解锁
[12:32] 它可以在白藏攻击敌人的时候
[12:34] 一直延续敌人身上的阻燃状态
[12:36] 被动二的效果虽然我们不一定用得到
[12:39] 但是他可以直接给白藏提供
[12:42] 20%的攻击力加成
[12:43] 能解锁也可以优先解锁
[12:45] 接着升级普攻
[12:47] 在战斗中我们的输出主要还是翻滚攻击
[12:50] 普攻可以提升翻滚攻击的伤害倍率
[12:53] 然后升级大招
[12:54] 白藏开大后
[12:55] 那些炎灵字不是会造成伤害吗
[12:57] 大招升级后就可以提升那些字造成的伤害
[13:00] 最后升级小技能
[13:02] 可以提高小技能的伤害倍率
[13:04] 援护技如果有资源可以升级
[13:06] 没资源就先不管
[13:08] 武器可以使用茶话会提供暴击率加成
[13:11] 武器效果
[13:12] 还可以在白藏扣血后提供暴击伤害加成
[13:15] 和他非常适配
[13:16] 武器主动释放还可以召唤一朵花
[13:19] 这朵花会自动对周围敌人造成多段自属性伤害
[13:23] S级武器也可以用凶猛之免提供攻击力加成
[13:26] 武器效果还可以提供大量爆伤加成
[13:29] A级武器可以用中有石提供暴击率加成
[13:32] 如果配队搭配三个不同属性的角色
[13:35] 还可以给白藏提供攻击力
[13:37] 防御力和生命值加成
[13:38] 空木这里卡带选择真红双生点两件套
[13:42] 可以提供10%的咒属性伤害加成
[13:44] 四件套是当敌人受到我方咒属性伤害时
[13:47] 装备者的攻击力可以提升6%
[13:50] 最多可以提升36%的攻击力
[13:52] 白藏的攻击频率还是比较高的
[13:55] 基本可以稳定吃满这个卡带的四件套效果
[13:58] 卡带的主词条前期可以选择暴击率或者攻击力
[14:01] 后期角色偏好驱动
[14:03] 可以提供30%的暴击率
[14:05] 加上武器属性12%的暴击率
[14:08] 空目副词条的30%
[14:10] 角色基础的5%
[14:11] 总共可以获得77%的暴击率
[14:14] 那主词条就可以选择这属性伤害加成
[14:17] 副词条可以选择暴击爆伤
[14:19] 伤害增加和攻击力觉醒
[14:21] 这里当我们解锁第一觉醒后
[14:23] 大招期间如果触发禁制
[14:26] 就可以提升下次技能造成的伤害
[14:28] 比如这里正常的小技能不暴击
[14:30] 造成736的伤害
[14:32] 暴击造成1350的伤害
[14:34] 当我开启大招触发禁制后
[14:37] 小技能不暴击就造成了941的伤害
[14:40] 暴击就造成了1725的伤害
[14:42] 如果触发了励志
[14:44] 就可以让白藏的技能冷却时间缩短四秒
[14:46] 比如这里我先释放翻滚攻击
[14:49] 接着点按小技能在地上生成励志
[14:51] 然后在小技能冷却时间还有11秒的时候
[14:55] 开启大招
[14:56] 触发地上的励志
[14:57] 此时我们就会发现
[14:58] 小技能的冷却时间就从十秒变成六秒
[15:02] 就减少了四秒的冷却时间
[15:03] 第二个觉醒效果可以在白长生成字的时候
[15:07] 增加自己6%的攻击力
[15:09] 最多可以叠加四层
[15:10] 也就是增加24%的攻击力
[15:12] 不过需要注意提升的攻击力
[15:15] 是根据白长基础攻击力来的
[15:17] 比如这里我白长的初始攻击力是1028
[15:20] 基础攻击力是482
[15:22] 然后我不停的打这个怪
[15:24] 在他身上生成三个柱字
[15:26] 大家看我的攻击力就会提升到1115
[15:29] 正好提升了482乘以6%乘以三
[15:32] 也就是87点左右
[15:34] 第三个觉醒
[15:35] 可以让场上存在的言灵智上限从三个
[15:38] 提升至四个
[15:39] 前面不是说场上存在的炎陵字
[15:42] 最多只能有三个吗
[15:43] 但是解锁觉醒三后
[15:45] 大家看场上的延年字就可以同时存在四个
[15:49] 第四个觉醒可以在炎灵至触发效果时
[15:52] 额外回复白藏5%的最大生命值
[15:54] 比如这里我开大
[15:56] 然后对敌人释放单体小技能
[15:58] 大家看
[15:58] 当镜子触发效果的时候
[16:01] 就会给他回复970点血
[16:03] 如果触发的是柱字的效果
[16:05] 注字就会先给我们回复一个970点的血
[16:08] 然后觉醒四再给我们回复一个970点血
[16:12] 总共回复两个970点血
[16:14] 第五个觉醒
[16:15] 可以让白藏大招的持续时间
[16:17] 从12秒提升至16秒
[16:19] 大招的时间变长
[16:20] 也就意味着
[16:21] 我们在大招期间可以触发的炎凌志更多了
[16:24] 第六个觉醒
[16:25] 可以在大招期间
[16:27] 让白藏的暴击率提升30%
[16:29] 前面我们说过
[16:30] 后期白藏的暴击率最多可以堆到77%
[16:34] 如果加上觉醒六的效果
[16:36] 就可以让我们在大招期间的暴击率
[16:38] 达到100%
[16:39] 共鸣三可以让普攻小技能大招的等级提升一级
[16:43] 共鸣六可以在白藏开大后
[16:45] 提升全队角色20%的攻击力
[16:47] 并且队伍里所有的角色都可以触发
[16:50] 白藏大招的斩杀效果呢
[16:52] 比如这里白藏开大后
[16:53] 我们用达芙迪尔打敌人
[16:55] 你看答复第二就也可以斩杀残血的敌人
[16:58] 总体来说觉醒一觉醒二
[17:01] 觉醒三
[17:01] 觉醒五以及共鸣三
[17:03] 共鸣六
[17:04] 都可以直接或者间接提升白仓的伤害能力
[17:07] 觉醒四可以提升白藏的生存能力
[17:10] 觉醒六可以提升白藏大招期间的输出稳定性
[17:13] 毕竟100%的暴击率
[17:15] 和不到100%的暴击率还是有区别的
[17:18] 如果大家有白藏的觉醒
[17:20] 大世界我���可以选择觉醒二
[17:22] 因为其他几个觉醒效果
[17:24] 都是需要开大后才能产生比较明显的效果
[17:27] 而大世界我们不是每时每刻都有大的深渊
[17:30] 可以选择觉醒一
[17:31] 大招期间可以提升我们造成的伤害
[17:34] 减少冷却时间的效果
[17:36] 也可以让我们在大招期间释放两个小技能
[17:38] 后期也可以选择觉醒六
[17:40] 开大后暴击率可以达到100%
[17:43] 还是非常不错的
[17:44] 配队方面可以搭配达芙迪尔
[17:46] 哈里亚
[17:46] 法蒂亚组成丝血队
[17:48] 白藏作为主力输出
[17:50] 持续战场
[17:51] 达芙迪尔作为速切爆发输出
[17:53] 打完伤害就可以直接下场
[17:55] 并不会占用太多白长的输出时间
[17:58] 同时白藏和达芙迪尔还可以触发阻燃反应
[18:01] 哈里亚可以给全队提供攻击力加成
[18:03] 搭配达芙迪尔可以触发暗星反应
[18:06] 哈里亚的被动一还可以强化暗星反应
[18:09] 在触发暗星反应后
[18:10] 进一步提升全队的攻击力加成法
[18:13] 第二给队伍提供一定的生存能力
[18:15] 被动一在触发暗星反应后
[18:17] 还可以减少敌人的生命值上限
[18:19] 并提升全队的生命值上限
[18:22] 或者也可以不要生存为搭配早物
[18:24] 他的被动一可以强化阻燃反应
[18:26] 以及白藏大招的持续伤害
[18:28] 大招也可以给全队提供攻击力加成
[18:31] 进一步提升白仓全队的输出伤害
[18:33] 以上就是有关白仓的全部内容了
[18:36] 下课
