[00:00] 抽到早物怎么样
[01:50] 这样做有一个什么好处呢
[01:52] 大家看我这样合着攻击三次后
[01:55] 找物的环和值就打满了
[01:56] 还是比较快的
[01:57] 我们切娜娜力进场就可以直接触发复文效果
[02:01] 当然这还不是早物打还和值最快的操作
[02:04] 他的小技能长按可以获得23点环和值普攻
[02:08] 搭配上小技能一轮可以获得50多点缓和值
[02:11] 打两轮就可以触发一次咒属性相关的缓和反应
[02:15] 这一点还是非常重要的
[02:16] 目前1.0版本大家肯定都在纠结
[02:19] 除了主角以外
[02:21] 还有没有什么角色可以快速打满黄河值
[02:23] 早物就是很不错的选择
[02:25] 进场后我们可以先长按找物的小技能聚怪
[02:28] 然后打普攻合轴切队友进场
[02:31] 这里可以看到加上长按小技能的时间
[02:34] 钠钠力进场的时候
[02:35] 时间才过了六秒钟
[02:37] 而找物的环和值已经有一半多啦
[02:39] 那我们再来一轮
[02:41] 是不是就可以触发环和反应了呢
[02:43] 大家看
[02:43] 当我们打完第二轮合轴签大单进场的时候
[02:47] 娜娜力就会释放原护剂
[02:48] 同时触发对应的负温反应
[02:50] 也就是说加上两次长按小技能的时间
[02:54] 早物每战场12秒就可以打满一次
[02:56] 还和值
[02:57] 虽然没有主角那么夸张
[02:59] 但是打起来也很快了
[03:00] 那前面我们一直在说长按小技能
[03:03] 长按小技能
[03:03] 这是因为掌握的小技能只能长按吗
[03:06] 并不是的
[03:07] 他的小技能总共有两种释放方式
[03:10] 一种是点按
[03:10] 一种是长按
[03:11] 点按时它会把敌人都吸到自己面前
[03:15] 同时用这个锤子攻击他们
[03:17] 把他们全部都砸倒在地上
[03:19] 长按时他也会把敌人吸到自己的面���
[03:22] 用这个锤子攻击他们
[03:24] 不过长按的小技能并不会把敌人砸倒在地上
[03:28] 而是会让他们浮空
[03:29] 就像这个样子
[03:30] 并且这个浮空不是让命中的敌人浮空
[03:33] 而是让面前这个区域内的敌人浮空
[03:36] 什么意思呢
[03:37] 比如这里我长按小技能攻击后面的这个怪
[03:40] 是不是没有被我打到
[03:41] 也没有浮空
[03:42] 但是当他往前走
[03:44] 大家看走到这片区域里的时候
[03:46] 它就会浮空
[03:47] 有关掌握的小技能
[03:49] 大家需要注意几个点
[03:50] 一无论是点按的击倒效果还是长按的浮空效果
[03:54] 对大型敌人或者boss都是不生效的
[03:57] 二无论是点按还是长按
[03:59] 他们的伤害倍率都差不多
[04:01] 六级小技能倍率的总和都是587.8
[04:04] 三长按比点按获得的环和值更多
[04:07] 这也是我在前面让大家长按小技能的原因
[04:10] 因为只有长按小技能时
[04:12] 早物才能在第二轮合轴正好打满环和值下场
[04:16] 这样合轴上场的角色才能正好触发缓和反应
[04:20] 四找物成功对敌人施加浮空或者压制的时候
[04:24] 可以让敌人的防御力下降10%
[04:26] 这是找物被动二的效果
[04:28] 比如这里正常我们普攻一下
[04:30] 是114的伤害
[04:31] 再A1下也还是114的伤害
[04:34] 当解锁被动二后
[04:36] 我们先长按小技能
[04:37] 让敌人浮空
[04:38] 然后再普攻一下
[04:39] 大家看
[04:40] 因为敌人防御力降低了10%
[04:42] 就造成了120点伤害
[04:43] 不过大家需要注意掌握点
[04:45] 按小技能是把敌人击倒
[04:47] 不是压制
[04:48] 所以我们点按小技能是吃不到被动二的效果的
[04:51] 你看这里点按击倒敌人后
[04:53] 普攻的伤害就还是114
[04:56] 那这个压制是什么技能施加的呢
[04:58] 这就要说到早柚的大招了
[05:00] 他的大招释放后会让宠物攻击面前的敌人
[05:04] 同时还会对他们施加压制效果
[05:06] 你看就像这样弄个黄条条给他们绑在地上
[05:09] 这个压制效果和前面小技能的浮空效果一样
[05:12] 对boss或者一些特殊敌人是不生效的
[05:15] 开大后
[05:16] 早物还会给队友提供30%的攻击力加成
[05:19] 提供的攻击力加成基于早物的基础攻击力
[05:23] 基础攻击力也就是攻击白值
[05:25] 我们打开角色养成界面
[05:27] 点击右边的三个点点
[05:28] 在这里可以看到
[05:30] 早物的攻击力总共是464+44
[05:33] 也就是508点
[05:34] 它主要由两部分构成
[05:36] 其中白色的这部分就是刚刚说到的基础攻击力
[05:40] 它只有在我们升级
[05:42] 突破角色以及武器时才会增加
[05:44] 而右边这个绿色的44是额外攻击力
[05:48] 额外攻击力可以通过空目的词条
[05:50] 或者武器效果获得
[05:52] 比如这里掌握的基础攻击力有464点
[05:55] 那么开大后
[05:56] 是不是就可以给队友提供464乘
[05:59] 30%
[05:59] 也就是139点左右的攻击力加成
[06:02] 开大前队友娜娜莉有1637点攻击力
[06:06] 开大后他就有1776点攻击力
[06:09] 正好增加了139点
[06:10] 不过需要注意一点
[06:12] 比如这里可以看到
[06:13] 无论是开大前还是开大后
[06:15] 早物的攻击力都是508点没有变
[06:18] 所以大招并不能给早物自己提供攻击力加成
[06:22] 最后我们再来看看他的被动一
[06:24] 他的被动一可以强化灼燃反应的效果
[06:27] 当敌人处于灼燃状态下的时候
[06:29] 身上每带有一种持续伤害
[06:31] 受到的持续伤害就会提高25%
[06:34] 最多可以提高100%
[06:36] 也就是说当敌人身上有四种持续伤害的时候
[06:39] 这个增伤效果就吃满了
[06:41] 而灼燃反应本身就属于一种持续伤害
[06:44] 也就是说当早物解锁被动一后
[06:47] 他所在队伍如果触发了灼燃反应
[06:50] 那灼燃反应的伤害就会直接提高25%
[06:53] 比如这里触发的灼带反应没有解锁
[06:56] 被动一不暴击的伤害是791
[06:59] 解锁被动一不暴击伤害就是989
[07:02] 正好提高了25%左右
[07:04] 除此之外
[07:05] 阿德勒的小技能
[07:07] 白藏的大招也会给敌人施加持续伤害
[07:10] 所以我用阿德勒放小技能
[07:12] 再切到白藏
[07:13] 开启大招
[07:14] 大家看此时子弹的伤害不暴击
[07:17] 就是1384
[07:18] 此时敌人身上正好有三种不同的持续伤害
[07:22] 正好昨晚的伤害也就提高了75%
[07:24] 所以单从被动一来看
[07:26] 掌握比较适合和暗属性打持续伤害的队友组队
[07:30] 这样既可以触发作战反应
[07:32] 又可以提升队伍整体输出的持续伤害
[07:35] 了解完他的技能后
[07:36] 我们再来看看他的实战手法
[07:38] 如果是打群怪
[07:39] 进场后
[07:40] 我们先长按小技能聚怪
[07:41] 然后开启大招
[07:42] 把敌人压制在地上
[07:44] 同时给队友提供攻击力加成
[07:46] 接着切队友进场输出就可以了
[07:49] 如果是打单体怪
[07:50] 进场后
[07:51] 我们先开大招
[07:51] 给队友提供攻击力加成
[07:53] 接着长按小技能
[07:55] 此时也可以直接合轴接队友入场
[07:58] 掌握会自己放完小技能后才下场
[08:00] 这样先开大再放小技能
[08:02] 我们就可以吃到小技能提供的大招能量
[08:05] 同时和周也会减少
[08:07] 释放小技能所需要的战场时间
[08:09] 后续和轴切队友进场直接开始输出就可以了
[08:12] 下面我们来说下早握的养成技能
[08:15] 这里如果试玩左战队就可以解锁一下被动一
[08:18] 被动二等级够
[08:19] 可以直接解锁
[08:20] 在打小怪的时候可以减少敌人的防御力
[08:23] 接着先升级大招
[08:24] 掌握的大招六级有1322的伤害倍率
[08:28] 作为一个辅助来说还是非常可观的
[08:30] 小技能
[08:31] 最后升级小技能升级主要也是增加伤害倍率
[08:34] 普攻圆弧技没有资源都可以不用升
[08:37] 不过需要注意升级大招
[08:39] 并不能让他提供的攻击力加成变多
[08:42] 所以如果前期资源不够掌握的技能
[08:44] 其实都可以不用升级
[08:46] 武器可以用好
[08:47] 狗狗组四方提供攻击力加成和充能效率加成
[08:50] 武器效果可以在掌握开大后
[08:52] 给全队提供10%的攻击力加成
[08:55] 如果大招成功压制敌人提供的攻击力加成
[08:58] 还会从10%变成16%
[09:00] 也可以用面具下的眼泪提供攻击力加成
[09:03] 武器效果可以在开大后标记敌人
[09:06] 减少被标记的敌人造成的伤害
[09:08] 缓解队伍的生存压力
[09:10] 这两把武器都可以在游戏里直接获得
[09:12] 不知道的老大可以去看我往期视频
[09:15] 全S级胡牌获取空木
[09:17] 这里卡带推荐音速蓝刺猬两件套
[09:19] 提供大招充能效率
[09:21] 四件套可以在开大后给全队提供攻击力加成
[09:24] 角色大招效果
[09:26] 武器效果加上套装效果
[09:27] 在开大后20秒内
[09:29] 可以给队友提供很多的攻击力加成
[09:31] 同时武器和卡带提供的充能效率
[09:34] 也可以让掌握的大招快速充满
[09:36] 频繁开大
[09:37] 因为掌握大招提供的攻击力加成
[09:39] 是基于他基础攻击力来算的
[09:42] 所以空步的词条并没有什么硬性要求
[09:44] 卡带主词条副词条前期有啥用啥
[09:48] 咒属性增伤
[09:49] 攻击力
[09:49] 暴击率都可以
[09:50] 后期大家如果希望用早物也打点伤害
[09:53] 那卡带主词条就可以选择暴击率
[09:55] 副词条
[09:56] 选择暴击率
[09:57] 暴击伤害
[09:57] 攻击力伤害增加
[09:59] 主词条副词条加上角色基础的暴击率
[10:02] 总共可以让早物的暴击率达到65%
[10:04] 一个大招打下来伤害还是挺不错的
[10:07] 觉醒
[10:07] 这里第一个觉醒
[10:08] 可以让大招的压制效果
[10:10] 从一开始的三秒变成六秒
[10:12] 比如这里左边是没有解锁第一个觉醒的
[10:15] 右边是解锁他的
[10:16] 大家看左边的敌人站起来后
[10:18] 右边的还躺在地上呢
[10:20] 第二个觉醒可以让我们在释放大招时
[10:22] 对浮空的敌人造成额外伤害
[10:24] 就比如正常我开大打的伤害是1146
[10:28] 等解锁觉醒二后
[10:29] 大家再看开大后造成的伤害
[10:31] 除了1146
[10:33] 就还有个640的额外伤害
[10:35] 不过大家注意一定要是浮空的敌人才可以
[10:38] 也就是说要先长按小技能把敌人打浮空再开大
[10:41] 如果直接开大
[10:42] 你们看
[10:45] 就并没有640的额外伤害了
[10:47] 全是1146
[10:48] 第三个觉醒是当我们击败敌人时
[10:51] 掌握小技能
[10:52] 大招的伤害就会提高6%
[10:54] 持续15秒
[10:55] 最多击败十个敌人
[10:57] 提高60%就达到上限了
[10:59] 比如正常我小技能砸一下是2218的伤害
[11:03] 然后我用娜娜力先打死一个敌人
[11:05] 然后再切回找物释放小技能
[11:08] 大家看砸一下就是2302的伤害了
[11:11] 大招也是同样的道理
[11:13] 不过需要注意这个效果只能持续15秒
[11:16] 15秒后伤害增幅就没有了
[11:18] 第四个觉醒可以让大招的攻击力提升翻倍
[11:21] 之前是基础攻击力的30%
[11:23] 解锁后开大就是60%
[11:25] 比如这里没开大
[11:26] 之前娜娜莉的攻击力是2301
[11:29] 掌握开大后是2440
[11:31] 提升了139点攻击力
[11:33] 然后我解锁一下
[11:34] 第四个觉醒没开大
[11:36] 之前是2301对吧
[11:37] 开单后你看就是2579啦
[11:40] 提升了278点
[11:41] 攻击力提升就翻倍了
[11:43] 第五个觉醒在大世界里会很好用
[11:45] 当我们长按小技能让敌人浮空时
[11:48] 就可以直接刷新大招
[11:49] 就比如这里我进场直接开个大
[11:52] 然后长按小技能把敌人打到浮空
[11:54] 大家看右下角大招就立马恢复了
[11:57] 没有冷却时间能量也是满的
[11:59] 这个觉醒可以让我们频繁开大
[12:01] 给队友加攻
[12:02] 在大世界用起来会很舒服
[12:04] 深渊打前面几层小怪层的时候也还不错
[12:07] 第六个觉醒
[12:08] 可以让重击短时间内同时吃掉三个怪
[12:11] 之前我们不是说他每吃一只怪
[12:14] 就需要消化180秒吗
[12:16] 不消化完就不能吃下一只怪
[12:18] 那解锁了这个觉醒后
[12:20] 我们就可以直接吃三只怪
[12:22] 然后一起消化
[12:23] 再打深渊的时候非常好用
[12:25] 像深渊前面有的关卡会有四个敌人
[12:27] 我们可以一下吃掉三个
[12:29] 然后对最后一个敌人进行正义群殴
[12:32] 共鸣三可以让普攻小技能大招的等级提升一级
[12:36] 共鸣六在敌人身上有负面效果的时候
[12:39] 可以让早物对它造成的伤害增加
[12:41] 总体来说
[12:42] 觉醒一觉醒四
[12:44] 觉醒五可以提升早物的辅助能力
[12:46] 觉醒二觉醒三
[12:48] 觉醒六以及共鸣三
[12:49] 共鸣六都是直接或间接提升了走物的伤害能力
[12:53] 如果大家有掌握的觉醒
[12:55] 在大世界我比较推荐觉醒五
[12:57] 它可以让我们每次战斗都可以开大
[13:00] 给队友加攻
[13:01] 在深渊还是更推荐觉醒四
[13:03] 让大招提供的攻击力加成更多一些
[13:06] 配队方面可以搭配娜娜莉主角九元
[13:09] 娜娜莉负责战场输出
[13:11] 九元负责速切打爆发
[13:13] 同时也不会浪费娜娜莉的战场时间
[13:15] 主角利用小技能快速打满还和值
[13:18] 帮助队伍频繁触发创伤效果
[13:20] 娜娜莉战场打满还和值
[13:22] 还可以切早物触发符文反应
[13:24] 在娜娜莉九元造成伤害的同时
[13:26] 进一步追加伤害
[13:28] 也可以把九元换成老板娘
[13:30] 寻娜娜莉是战场主C巡视速切副C早物的大招
[13:34] 可以给他们提供大量攻击力加成
[13:36] 迅速切开大打爆发
[13:38] 打完之后切娜娜莉开大招
[13:40] 战场输出
[13:41] 他战场的时候
[13:42] 荀的大招也会慢慢回复
[13:44] 等到那里打完就又可以切寻上场爆发
[13:47] 总体来说还是很不错的
[13:49] 或者也可以搭配白长达芙迪尔
[13:51] 哈尼亚或者法蒂亚
[13:52] 白藏负责战场打输出
[13:54] 达芙迪尔负责速切开
[13:56] 大打爆发
[13:57] 同时灼燃反应
[13:59] 白藏的大招都可以造成持续伤害
[14:01] 而掌握的被动一可以增强持续伤害
[14:04] 也是比较适配的
[14:05] 最后一个位置可以搭配魂属性角色组成丝血队
[14:09] 如果需要生存位
[14:10] 可以选择法蒂亚
[14:11] 如果不需要生存位
[14:13] 或者没有法蒂亚
[14:14] 也可以选择哈尼亚
[14:15] 给队伍提供攻击力加成
[14:17] 这个队伍目前算是湿鞋队的雏形
[14:19] 玩起来也还算不错
[14:21] 以上就是有关早握的全部内容了
[14:23] 下课
